Part;Value;Device;Package
C1;1u;C-EUC0805;C0805
C2;1u;C-EUC0805;C0805
C3;1u;C-EUC0805;C0805
C4;1u;C-EUC0805;C0805
C5;1u;C-EUC0805;C0805
C6;1u;C-EUC0805;C0805
C7;1u;C-EUC0805;C0805
IC1;TL074D;TL074D;SO14
R1;1M;R-US_R0805;R0805
R2;1M;R-US_R0805;R0805
R3;1M;R-US_R0805;R0805
R4;100k;R-US_R0805;R0805
R5;100k;R-US_R0805;R0805
R6;100k;R-US_R0805;R0805
R7;10k;R-US_R0805;R0805
R8;10k;R-US_R0805;R0805
SW_1;;3PDT.TOGGLE;3PDT.TOGGLE
TR1;SP-48;SP-67;SP-67
VOL;100k;TRIMMER;TRIM1
